signature	mode_exposure	mean_exposure	median_exposure	0%	100%	2.5%	25%	75%	97.5%
Signature 1	1779.0225929960197	1799.7721381527201	1798.280790942562	1544.014141907412	2039.1472899878877	1628.8386166047092	1744.4161810878836	1859.246352721217	1952.2838299794614
Signature 2	377.93590810582816	371.7050685976783	371.43520108865175	243.11381498484903	537.9835129003685	297.9182404756085	346.050792577525	396.61056905169113	448.6168890760488
Signature 3	1608.7778364402543	1618.4352026422202	1616.3985282281851	1044.5197985675693	2170.41594073552	1317.812710496015	1517.2864705758038	1718.419838742624	1911.2801871915315
Signature 4	36.42337292488249	87.77445326007643	73.84534526378113	0.4723150521385394	335.96065281302504	4.525646256005749	35.87326077956832	128.27993174452985	238.48753052826643
Signature 5	42.41337443309435	154.61539233192	114.3619738979416	0.056126243082094726	866.8266786531392	2.7599030111061635	45.299935265694074	227.88523283465435	520.8003613589904
Signature 6	13.054676444652447	43.81967195276147	32.756086027798915	0.09424334403217337	217.21606707835073	1.3919376576720535	13.289994947718007	62.450816179434455	155.76561781326697
Signature 7	63.09860045543884	68.11191156282752	65.06751187673723	0.7857692823920822	197.3909368077355	4.619394723807789	35.26646001261268	94.0474263440674	151.16142699407354
Signature 8	2003.5119015584082	2006.5106514673726	2007.3103528939941	1471.5115479056449	2499.2759011283397	1725.1141720151	1909.6536647226112	2108.317297207981	2292.8178566616307
Signature 9	640.0172342711121	663.0096438418448	660.9228650104342	352.8275624708156	996.644584856047	471.698186225157	594.6001898462746	731.2964827382359	867.8489723763364
Signature 10	7.34409112815654	21.08258935906827	16.406887928039346	0.005143322927501152	107.26220195810355	0.6931264301837763	7.473504508022611	29.949641191438488	65.95097896714826
Signature 11	18.212663894136586	45.26010728478061	37.85022437261878	0.10432775618047009	186.02868628932245	1.3018258068980566	18.22054811969663	65.3495025753806	124.2770276059861
Signature 12	11.523788745027204	39.74620387304484	27.81939270277077	0.014795355628284724	268.06760413470096	1.1002353124495827	11.837276764843882	55.07375713363749	135.14705982651662
Signature 13	369.2736496948062	354.70470329899626	355.8506001150072	243.5030757570432	462.146083762255	288.23802523897194	331.85215224353993	377.38797479469747	424.2863265015167
Signature 14	7.676235955406744	22.93190727615698	16.82365199261993	0.13783101423367436	153.66284361098272	0.7796006164421965	7.2829631443438565	31.45166280176934	79.4928478602711
Signature 15	8.448889871849492	28.018955241335984	21.280837349563676	0.04232281413723342	210.91033767034193	0.7675547805901466	8.901623389004252	39.86513086747355	88.98971136778827
Signature 16	406.6867984305547	375.85413797465486	382.79889613235093	22.354656030890848	837.0713822370443	86.66665054614231	271.9706960301435	476.5498467311911	658.1803597659745
Signature 17	17.779956523411677	38.42706394502549	33.334062413839376	0.018761356448108286	141.75447286944762	2.026085163491849	16.757580488197785	55.19814872274693	101.62243045096785
Signature 18	3.3515465874193326	12.293811603601876	9.183920098349262	0.05362672624892244	100.9463115186646	0.39112214368912934	3.596452141506604	17.447368682971813	42.588836408125616
Signature 19	8.04728643665496	21.591925654716	16.559325673140854	0.0076948201547457715	135.85503312589327	0.6857313967083398	8.128385624115179	30.753675411328153	68.84558733980091
Signature 20	6.434637647016286	20.353753230932842	13.887417023594052	0.045626936583713654	122.0602357858683	0.576246195111256	5.815562502061818	28.95720377960025	68.36599860473389
Signature 21	29.219531268842523	44.76852540609269	39.90478592955246	0.07630822947803664	191.9195421487877	2.3029724644607077	22.011428938119284	64.02918017868417	111.8064722094862
Signature 22	47.75310314420136	55.489115611450124	51.88266200032888	0.007636767763022598	192.8248372629701	1.879668824052801	27.215696619831743	78.83816748821516	129.6656333963756
Signature 23	3.687970552273014	11.392308821498455	8.248880838678637	0.003462884942096409	88.87513101336413	0.3513262409731978	3.7138141817481465	15.955121011919006	40.09329634047659
Signature 24	14.258846380487899	37.0168135727054	29.8747280521595	0.0064903511727002535	167.34271163383383	1.1424182490988695	14.424805940722642	52.88426975643719	108.6858386165931
Signature 25	101.26964209700714	160.98620595371304	146.77760149368768	0.6234016091936718	557.4470198543789	14.963411424550937	82.2268208924725	230.06960453640528	375.9270800499053
Signature 26	12.551482666174238	44.387055325605466	35.286719473172084	0.1582652847405237	219.36340129626356	1.4330464534748957	15.262687931424235	62.530340598301905	144.6734499494728
Signature 27	74.0032719890431	80.36746291095429	80.08259941809848	18.64578123513553	145.55211514849012	31.429991462966278	64.38109001677638	97.75500231332333	128.91572657263995
Signature 28	80.70944289987713	73.51388019499694	73.44285833362129	0.2053493992731262	191.6491218498981	5.631953253605972	43.16114090278767	99.81940577639995	155.92062303295435
Signature 29	6.67410958434024	23.159345730375986	16.146054801386803	0.005186165828444925	160.86725133265776	0.6927215922582148	6.936964555806932	33.45916229081694	81.60745533019188
Signature 30	28.848886236495353	87.8999939208721	73.59552172684543	0.07366440423270199	321.6358079833604	2.3959304714223446	34.152298381850585	133.81918216002305	228.70206735560092
